id_evaluacion,archivo_local,sha256,n_copias,canonico
Attar_2022,,,,
Chen_et_al._2024,,,,
Gonzales_et_al._2023,,,,
Hassan_Liu_2019,,,,
Hidalgo_Stojkoski_2025,,,,
Jatwot_2014,,,,
Jayasekara_Abu_2018,,,,
Kassem_et_al._2024,,,,
Kovalchuk_et_al._2022,,,,
Matsumoto_et_al._2018,,,,
Nicholson_et_al._2023,,,,
Ono_Nishiyama_Obana_1999,,,,
Ravi_Ravi_2018,,,,
Rodriguez_Casasola_2022,,,,
Rosenblueth_Gerhenson_2011,,,,
Sawarkar_2024,,,,
Sharma_et_al._2025,,,,
Vanhe_e_et_al._2025,,,,
Vaswani_et_al._2017,,,,
Zhao_et_al._2016,,,,
paper_021_Deep_learning,paper_021_Deep_learning.pdf,3a475d8ec3b6d2b1084978e8f248c6cd4f99d353cbe2dbe58d1b938eb8ee3339,1,
paper_022_Generative_adversarial_nets,paper_022_Generative_adversarial_nets.pdf,331961622a2f6588c48a34ecddc6a3d052ffe8fcfba333f233d5f27b2da5565d,1,
paper_023_Attention_is_all_you_need,paper_023_Attention_is_all_you_need.pdf,d87d482d5ae7960e2e43d7dd6d21377e60e73e8fce1bf2a01aff7aca8a08c537,1,
paper_024_BERT_Pre-training_of_deep_bidirectional,paper_024_BERT_Pre-training_of_deep_bidirectional_transforme.pdf,987545ffb087f1ece898142c403a516baeabeb70ce19089397fac6f7db12c3d4,1,
paper_026_Language_models_are_unsupervised_multita,paper_026_Language_models_are_unsupervised_multitask_learner.pdf,d9d852e2894556e73f53cb22b7c605a9643d6f0b19bf604b429ed6192fa24f4e,1,
paper_027_Deep_residual_learning_for_image_recogni,paper_027_Deep_residual_learning_for_image_recognition.pdf,51b5de45eb0b558b19c3affe49503cff50cb170a32de602983d6e2ec286942a7,1,
paper_029_You_only_look_once_Unified_real-time_obj,paper_029_You_only_look_once_Unified_real-time_object_detect.pdf,956d7ab934fac9fcf157a4bddd32b42303ca1087993c005534cd4a1e93e8c940,1,
paper_038_GPT-4_Technical_Report,paper_038_GPT-4 Technical Report.pdf,c33a66dadca2388d7b172d6293b00dc32b71110c6f38fafe0d41112e61be7774,3,paper_038_GPT-4_Technical_Report
paper_040_LaMDA_Language_Models_for_Dialog_Applica,paper_040_LaMDA_ Language Models for Dialog Applications.pdf,c2b9f7d10729fe742326a7b4ff41430899e2455700920ab464f8974e7ffcb718,3,paper_040_LaMDA_Language_Models_for_Dialog_Applica
paper_041_GPQA_A_Graduate-level_Google-Proof_Q_A_B,paper_041_GPQA_ A Graduate-level Google-Proof Q&A Benchmark.pdf,58a85a21b653a01d5794f84952936f58e6a5218d781588f44ae183bb749bf023,2,paper_041_GPQA_A_Graduate-level_Google-Proof_Q_A_B
paper_042_Longformer_The_Long-Document_Transformer,paper_042_Longformer_ The Long-Document Transformer.pdf,053756b54e2d3462d4690b3aed489c962f17df7c3531865e47374c4a651f526c,3,paper_042_Longformer_The_Long-Document_Transformer
paper_044_DeBERTa_Decoding-enhanced_BERT_with_Dise,paper_044_DeBERTa_ Decoding-enhanced BERT with Disentangled .pdf,8ce7b83971a14508ca711a27c875c9b6914c4f6767cf3150fb1ca6c07aa056d6,2,paper_044_DeBERTa_Decoding-enhanced_BERT_with_Dise
paper_045_LoRA_Low-Rank_Adaptation_of_Large_Langua,paper_045_LoRA_ Low-Rank Adaptation of Large Language Models.pdf,e9a0d3128767db616085dc0f4e6e455e672e89af823e8ed1282793682787395a,3,paper_045_LoRA_Low-Rank_Adaptation_of_Large_Langua
paper_046_Retrieval-Augmented_Generation_for_Knowl,paper_046_Retrieval-Augmented Generation for Knowledge-Inten.pdf,23e3249e9a1e75418d82efecab0ea8c4d033b89c93742f63208d47ce01f21233,3,paper_046_Retrieval-Augmented_Generation_for_Knowl
paper_047_REALM_Retrieval-Augmented_Language_Model,paper_047_REALM_ Retrieval-Augmented Language Model Pre-Trai.pdf,3e67fc1a9977715acf722d85f0b7d124b03715e975f6310a4d6c12094190912f,3,paper_047_REALM_Retrieval-Augmented_Language_Model
paper_048_Dense_Passage_Retrieval_for_Open-Domain,paper_048_Dense Passage Retrieval for Open-Domain Question A.pdf,61a4418f189b454c28e534882d4dc26a4ad29e15d82deb8fb1ec86be08e3f6ae,2,paper_048_Dense_Passage_Retrieval_for_Open-Domain
paper_049_Atlas_Few-shot_Learning_with_Retrieval_A,paper_049_Atlas_ Few-shot Learning with Retrieval Augmented .pdf,7fd476342abaa95cbde50e1c5108765f2c53c3c84a7d55c4f2584fb8aaa01b10,2,paper_049_Atlas_Few-shot_Learning_with_Retrieval_A
paper_050_CAMEL_Communicative_Agents_for_Mind_Expl,paper_050_CAMEL_ Communicative Agents for Mind Exploration.pdf,05baa636de7fe8b91d372a6c75a598352f3d2a01b59ad0c5f91bb6918e50d5d1,2,paper_050_CAMEL_Communicative_Agents_for_Mind_Expl
paper_051_Tree_of_Thoughts_Deliberate_Problem_Solv,paper_051_Tree of Thoughts_ Deliberate Problem Solving with .pdf,cc65b7ad233da4f46a673c0045ee2c0ab332948d86b3f401ba97345d650abf04,2,paper_051_Tree_of_Thoughts_Deliberate_Problem_Solv
paper_052_ReAct_Synergizing_Reasoning_and_Acting_i,paper_052_ReAct_ Synergizing Reasoning and Acting in Languag.pdf,f285b0971ae4a790e402fb93966bed3adde2cf0a04977d08b2b40d6ab0cace69,2,paper_052_ReAct_Synergizing_Reasoning_and_Acting_i
paper_053_Toolformer_Language_Models_Can_Teach_The,paper_053_Toolformer_ Language Models Can Teach Themselves t.pdf,22ef2e9c3c5fb699dc8a3cec9650a37523e88e6b58ff74cda3fd7a4443f52bc4,1,
paper_054_MMLU_Measuring_Massive_Multitask_Languag,paper_054_MMLU_ Measuring Massive Multitask Language Underst.pdf,d3a7b0f8589f5365ebfd34a3876a9a8b3fde83e0adb9ed19ccf8f0034bb48fc1,1,
paper_055_TruthfulQA_Measuring_How_Models_Mimic_Hu,paper_055_TruthfulQA_ Measuring How Models Mimic Human False.pdf,6e86175861d24d075bbd8fec987cbdabd0d6332700b001a1ccf335fa72f541b2,1,
paper_056_Chain-of-Thought_Prompting_Elicits_Reaso,paper_056_Chain-of-Thought Prompting Elicits Reasoning in La.pdf,7d9f878c23b460e4566aa4ec9201b1abfb3b8faefb2b1356e411cb90fef72a12,1,
paper_057_Self-Consistency_Improves_Chain_of_Thoug,paper_057_Self-Consistency Improves Chain of Thought Reasoni.pdf,43a3d73c77c7f3e115bb85522a4d94aaa54cdb55a0d9e17eb6af3117f39111c7,1,
paper_058_GPT-4_Technical_Report,paper_058_GPT-4 Technical Report.pdf,c33a66dadca2388d7b172d6293b00dc32b71110c6f38fafe0d41112e61be7774,3,paper_038_GPT-4_Technical_Report
paper_060_LaMDA_Language_Models_for_Dialog_Applica,paper_060_LaMDA_ Language Models for Dialog Applications.pdf,c2b9f7d10729fe742326a7b4ff41430899e2455700920ab464f8974e7ffcb718,3,paper_040_LaMDA_Language_Models_for_Dialog_Applica
paper_062_Longformer_The_Long-Document_Transformer,paper_062_Longformer_ The Long-Document Transformer.pdf,053756b54e2d3462d4690b3aed489c962f17df7c3531865e47374c4a651f526c,3,paper_042_Longformer_The_Long-Document_Transformer
paper_064_DeBERTa_Decoding-enhanced_BERT_with_Dise,paper_064_DeBERTa_ Decoding-enhanced BERT with Disentangled .pdf,8ce7b83971a14508ca711a27c875c9b6914c4f6767cf3150fb1ca6c07aa056d6,2,paper_044_DeBERTa_Decoding-enhanced_BERT_with_Dise
