id_evaluacion,titulo,dominio_detectado,deduplicado_por
Attar_2022,Analysing Longitudinal Social Science Questionnaires: Topic ,ciencias sociales,nombre
Chen_et_al._2024,Generative AI in Higher Art Education,educación,nombre
Gonzales_et_al._2023,Analysis of International Economic Integration based on a Co,economía,nombre
Hassan_Liu_2019,Embedding Data Science into Computer Science Education,educación en ciencias de la computación,nombre
Hidalgo_Stojkoski_2025,The Theory of Economic Complexity,economía,nombre
Jatwot_2014,A Framework for Analyzing Semantic Change of Words across Ti,procesamiento de lenguaje natural,nombre
Jayasekara_Abu_2018,Título no identificado,ciencias sociales,nombre
Kassem_et_al._2024,Text Analysis Based on Natural Language Processing (NLP),procesamiento de lenguaje natural,nombre
Kovalchuk_et_al._2022,Text Mining for the Analysis of Legal Texts,procesamiento de lenguaje natural,nombre
Matsumoto_et_al._2018,Data Analysis Support by Combining Data Mining,minería de datos y minería de texto,nombre
Nicholson_et_al._2023,Changing word meanings in biomedical literature reveal pande,biomedicina,nombre
Ono_Nishiyama_Obana_1999,Agentbase a framework for handling multiple agents,inteligencia artificial,nombre
Ravi_Ravi_2018,$UWLFOHFLWDWLRQVHQWLPHQWDQDO\VLVXVLQJGHHSOHDUQLQJ,procesamiento de lenguaje natural,nombre
Rodriguez_Casasola_2022,Analysis of Semantic Shift Before and After COVID-19 in Span,procesamiento de lenguaje natural,nombre
Rosenblueth_Gerhenson_2011,A Model of City Traffic Based on Elementary Cellular Automat,ingeniería de tráfico,nombre
Sawarkar_2024,Blended RAG: Improving RAG (Retriever-Augmented Generation) ,procesamiento de lenguaje natural,nombre
Sharma_et_al._2025,Advancing Natural Language to SQL: A Comparative Study of Op,procesamiento de lenguaje natural,nombre
Vanhe_e_et_al._2025,Large Language Models for Agent-Based Modelling: Current and,modelado basado en agentes,nombre
Vaswani_et_al._2017,Attention Is All You Need,procesamiento de lenguaje natural,nombre
Zhao_et_al._2016,This paper explores Japanese firms’ social innovation activi,ciencias sociales,nombre
paper_021_Deep_learning,"Deep Learning Hardware: Past, Present, and Future",aprendizaje profundo,hash
paper_022_Generative_adversarial_nets,Generative Adversarial Nets,aprendizaje automático,hash
paper_023_Attention_is_all_you_need,Attention Is All You Need,procesamiento de lenguaje natural,hash
